team1,team2,league,total_games,team1_wins,team2_wins,draws,last_meeting,last_result,avg_goals_team1,avg_goals_team2
New York Yankees,Toronto Blue Jays,MLB,7,7,10,3,2025-02-23,L,2.286464425053026,2.1743602954541466
New York Yankees,Philadelphia Phillies,MLB,25,10,9,3,2025-02-04,L,3.374426958472842,2.2017434383551926
New York Yankees,San Diego Padres,MLB,21,12,8,3,2025-03-05,W,1.904409975679865,3.3658513672050887
New York Yankees,New York Mets,MLB,24,5,9,2,2024-11-29,W,2.8541684251832566,1.5103456426158537
New York Yankees,St. Louis Cardinals,MLB,17,7,14,1,2024-10-03,W,3.461844747150668,2.4677178984184795
New York Yankees,Milwaukee Brewers,MLB,20,7,10,4,2025-05-10,W,3.0755340250952425,2.5445644283042808
New York Yankees,Chicago Cubs,MLB,20,6,6,0,2024-12-22,L,2.303239912423214,3.2729588546870936
New York Yankees,San Francisco Giants,MLB,27,3,12,1,2024-10-18,D,2.053669198861196,1.701064967043875
Toronto Blue Jays,Philadelphia Phillies,MLB,27,13,10,1,2024-12-13,L,3.308667627153211,3.435678372250788
Toronto Blue Jays,San Diego Padres,MLB,17,13,11,2,2025-01-17,D,2.166187043103876,3.1361859362600937
Toronto Blue Jays,New York Mets,MLB,8,9,12,2,2025-01-31,W,2.019304073789171,1.602499984818129
Toronto Blue Jays,St. Louis Cardinals,MLB,14,3,7,2,2025-04-20,D,2.5745265253553553,2.8184105377364137
Toronto Blue Jays,Milwaukee Brewers,MLB,10,14,4,0,2025-05-20,L,2.193611532954265,1.7490183904948318
Toronto Blue Jays,Chicago Cubs,MLB,13,2,12,3,2024-07-20,W,3.3658407404035184,2.030668321449458
Toronto Blue Jays,San Francisco Giants,MLB,10,8,3,1,2025-02-09,W,3.3882222558831003,3.2380405074500267
Philadelphia Phillies,San Diego Padres,MLB,5,4,3,3,2024-09-07,L,3.228317886085634,1.779394119212641
Philadelphia Phillies,New York Mets,MLB,23,13,12,3,2024-11-26,L,2.8201079455289624,3.3940545033625407
Philadelphia Phillies,St. Louis Cardinals,MLB,28,9,4,1,2024-10-29,W,2.50173678461747,1.7315087947927938
Philadelphia Phillies,Milwaukee Brewers,MLB,5,3,9,4,2025-03-15,W,2.793639531771899,1.5930693353219931
Philadelphia Phillies,Chicago Cubs,MLB,21,11,13,3,2025-04-01,D,1.545095376845323,1.7900724190486546
Philadelphia Phillies,San Francisco Giants,MLB,10,4,13,2,2024-10-14,D,2.34306707550192,2.7184354847076784
San Diego Padres,New York Mets,MLB,8,14,7,4,2025-04-20,L,2.6755099817488333,3.1842737761072755
San Diego Padres,St. Louis Cardinals,MLB,13,10,4,2,2025-02-04,D,3.2521267958432607,1.8503398053860967
San Diego Padres,Milwaukee Brewers,MLB,9,13,7,4,2025-03-05,D,2.533607956329649,2.230007498231122
San Diego Padres,Chicago Cubs,MLB,25,5,14,3,2024-09-06,L,3.0174332987573487,1.6636347645336338
San Diego Padres,San Francisco Giants,MLB,9,10,12,1,2025-04-05,L,2.206858885451978,3.3315356509677567
New York Mets,St. Louis Cardinals,MLB,25,12,10,0,2025-03-21,D,3.2483649061733195,2.6348217183312252
New York Mets,Milwaukee Brewers,MLB,25,2,12,3,2024-09-12,D,3.32034436240989,3.475128442467317
New York Mets,Chicago Cubs,MLB,25,10,13,0,2025-01-15,D,1.692267774105135,2.113306052159878
New York Mets,San Francisco Giants,MLB,14,4,13,4,2025-04-18,D,1.8346336776525798,2.6893937618992556
St. Louis Cardinals,Milwaukee Brewers,MLB,24,9,11,1,2024-08-30,D,2.482220872461499,2.701896394640435
St. Louis Cardinals,Chicago Cubs,MLB,9,4,3,3,2025-01-10,L,1.941747883077403,3.191890608162024
St. Louis Cardinals,San Francisco Giants,MLB,7,3,9,2,2024-11-02,W,3.015223718450834,3.486337169797072
Milwaukee Brewers,Chicago Cubs,MLB,28,13,9,3,2024-07-27,L,1.568563131078431,3.0169750350125253
Milwaukee Brewers,San Francisco Giants,MLB,25,4,7,1,2024-09-04,W,1.8499155340513802,1.997954804677665
Chicago Cubs,San Francisco Giants,MLB,22,7,8,2,2024-10-05,L,2.9402069431822806,3.300726071707688
