team1,team2,league,total_games,team1_wins,team2_wins,draws,last_meeting,last_result,avg_goals_team1,avg_goals_team2
Golden State Warriors,Dallas Mavericks,NBA,28,12,6,2,2024-10-01,D,2.9581246837628656,3.2246851795130755
Golden State Warriors,Memphis Grizzlies,NBA,27,14,13,2,2025-05-21,D,3.4045605951814872,1.9701282904087118
Golden State Warriors,Sacramento Kings,NBA,28,11,4,3,2024-07-17,W,2.312750928249466,2.558453074581486
Golden State Warriors,Cleveland Cavaliers,NBA,11,3,10,2,2024-08-21,W,1.555330166087254,2.533036793575872
Miami Heat,Philadelphia 76ers,NBA,25,4,2,0,2025-03-23,W,1.8971579998030403,3.3635656396979465
Miami Heat,Los Angeles Lakers,NBA,15,2,4,1,2025-01-28,W,2.094370679380944,3.2751627526700693
Miami Heat,Dallas Mavericks,NBA,27,10,2,4,2024-07-04,D,3.1920984829325345,3.001658561602465
Miami Heat,Memphis Grizzlies,NBA,7,7,3,3,2024-11-16,W,1.8447674804810683,2.339963549203528
Miami Heat,Sacramento Kings,NBA,29,7,4,3,2024-11-04,W,1.7232195229543743,2.1451289991460403
Miami Heat,Cleveland Cavaliers,NBA,11,7,5,1,2025-01-20,W,3.2940622686027883,2.2718860701364854
Philadelphia 76ers,Los Angeles Lakers,NBA,9,12,5,4,2025-01-31,D,2.5650241323199934,2.690103954506667
Philadelphia 76ers,Dallas Mavericks,NBA,16,9,11,1,2024-10-15,L,1.5085254019841925,2.524479703095519
Philadelphia 76ers,Memphis Grizzlies,NBA,16,11,6,1,2024-07-11,D,1.6938814465776577,3.2399822116470878
Philadelphia 76ers,Sacramento Kings,NBA,28,12,5,0,2024-10-06,W,2.3096798779087404,2.9760131181275593
Philadelphia 76ers,Cleveland Cavaliers,NBA,9,5,3,3,2024-12-06,W,2.9487945066367782,3.310956258491675
Los Angeles Lakers,Dallas Mavericks,NBA,13,9,5,3,2024-11-27,W,2.347695489413418,2.580724324596851
Los Angeles Lakers,Memphis Grizzlies,NBA,29,11,10,2,2024-07-31,D,1.8094822666212569,3.4835144706883763
Los Angeles Lakers,Sacramento Kings,NBA,17,14,10,1,2024-10-03,L,2.380562567736279,2.1404907705841394
Los Angeles Lakers,Cleveland Cavaliers,NBA,18,11,5,4,2025-03-19,W,1.9906577252410467,2.8546847430975046
Dallas Mavericks,Memphis Grizzlies,NBA,27,6,14,2,2024-07-17,W,1.8739553800909519,2.431727622292275
Dallas Mavericks,Sacramento Kings,NBA,27,9,13,3,2024-07-09,L,2.488398108462465,1.7157208291588928
Dallas Mavericks,Cleveland Cavaliers,NBA,21,4,14,1,2024-06-28,D,2.870175375096187,2.2673731688857286
Memphis Grizzlies,Sacramento Kings,NBA,24,2,7,2,2025-04-27,D,3.0799227521795753,2.1756949094579756
Memphis Grizzlies,Cleveland Cavaliers,NBA,7,4,9,4,2024-09-04,L,3.055693097904453,2.368782611975746
Sacramento Kings,Cleveland Cavaliers,NBA,6,10,12,3,2024-11-12,W,2.206784713642299,3.355311713604987
